Date,Payee,Category,Memo,Outflow,Inflow
18/10/2017,Komezushi,Alimentação: Comer no trabalho,,38.62,
18/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,7.20,
17/10/2017,Magia de Minas,Alimentação: Comer no trabalho,,47.00,
17/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,11.45,
16/10/2017,Mit,Alimentação: Comer no trabalho,,29.17,
16/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,12.15,
15/10/2017,BH Lanches,Alimentação: Comer fora de casa,,12.25,
13/10/2017,Komezushi,Alimentação: Comer no trabalho,,33.10,
12/10/2017,China In Box,Alimentação: Comer fora de casa,,42.60,
12/10/2017,Lanchonete Cuca Ideal,Alimentação: Comer fora de casa,,26.40,
11/10/2017,Komezushi,Alimentação: Comer no trabalho,,40.24,
11/10/2017,Zé do Hamburger,Alimentação: Comer fora de casa,,37.00,
11/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,12.15,
10/10/2017,O Gaiteiro,Alimentação: Comer no trabalho,,26.00,
10/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,7.20,
09/10/2017,Aneto,Alimentação: Comer no trabalho,,27.49,
09/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,7.20,
06/10/2017,Amarelinho das Batidas,Alimentação: Comer no trabalho,,25.60,
06/10/2017,Máquina FLFC,Alimentação: Comer no trabalho,,3.00,
05/10/2017,Marach,Alimentação: Comer no trabalho,,48.51,
04/10/2017,Momiji,Alimentação: Comer no trabalho,,65.80,
03/10/2017,Dona Deola,Alimentação: Comer no trabalho,,35.02,
02/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,25.28,
02/10/2017,Cantina Itaú,Alimentação: Comer no trabalho,,7.20,
